status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
310039442421596_1260874564004741,"Jeremy Corbyn attacked SNP and Tory nationalism in Glasgow today.

Tory plans for a hard Brexit will start a race to the bottom on tax for big businesses. 

But independence would mean turbo charged austerity for our public services in Scotland, which are already facing a £327 million cut from the SNP.",Independence would mean 'turbo charged austerity' for Scotland,video,https://www.facebook.com/ScottishLabourParty/videos/1260874564004741/,2017-01-20 10:37:19,232,111,58,195,7,0,21,0,9
310039442421596_1260179694074228,"Kez today raised the case of Elaine Hanby from Nairn during First Minister's Questions.

Mrs Hanby is the chair of the Royal Navy and Royal Marines Widows' Association, and was diagnosed with a cataract two years ago. She has been told to expect a 12-month wait for a consultation, even though the SNP promises no patient should wait longer than 12 weeks.

The wait is so bad that Mrs Hanby is considering going to Europe for treatment.

All this comes in the week the Chair of BMA Scotland warned our NHS is at 'breaking point' and the worst A&E waiting times were published in two years.

Instead of dividing Scotland by rerunning the arguments for a second independence referendum, the SNP should focus on running our NHS.",Doctors are getting sick of SNP spin abour our NHS,video,https://www.facebook.com/ScottishLabourParty/videos/1260179694074228/,2017-01-19 12:39:19,76,38,28,66,4,0,1,4,1
310039442421596_1259126444179553,,Anas Sarwar,video,https://www.facebook.com/anas.sarwar/videos/879290938840416/,2017-01-18 13:17:44,93,22,0,84,1,0,4,1,3
310039442421596_1257610450997819,"READ: Kezia Dugdale's response to Theresa May's Brexit speech today. 

http://www.scottishlabour.org.uk/blog/entry/the-tories-have-put-the-union-at-risk-by-furthering-the-sort-of-divisions-t",'The Tories have put the Union at risk by furthering the sort of divisions the SNP thrive on',link,http://www.scottishlabour.org.uk/blog/entry/the-tories-have-put-the-union-at-risk-by-furthering-the-sort-of-divisions-t,2017-01-17 11:48:45,34,22,10,30,1,0,2,0,1
310039442421596_1256363387789192,"Our cities are the key to a stronger, fairer economy across Scotland.

Tonight, in a keynote speech, Kezia Dugdale will outline plans for a radical approach to the economy.

http://www.scotsman.com/news/politics/kezia-dugdale-in-call-for-new-dedicated-cities-minister-1-4340289",Kezia Dugdale in call for new dedicated cities minister,link,http://www.scotsman.com/news/politics/kezia-dugdale-in-call-for-new-dedicated-cities-minister-1-4340289,2017-01-16 04:44:10,23,16,5,20,0,0,3,0,0
310039442421596_1255750041183860,"Scotland's NHS is being stretched to ""breaking point"", according to a doctors' leader.

It is now clear that the SNP's failure to properly workforce plan has left our dedicated NHS staff over-worked, under-valued and under-resourced. 

http://www.bbc.co.uk/news/uk-scotland-scotland-politics-38628343",BMA: Scotland's NHS is stretched to 'breaking point' - BBC News,link,http://www.bbc.co.uk/news/uk-scotland-scotland-politics-38628343,2017-01-15 13:09:22,61,15,32,50,0,0,2,2,7
310039442421596_1254727104619487,"Scottish Labour activists have been out on the doorsteps, campaigning to protect our public services from SNP cuts.

The SNP is cutting £327million from local services this year.
Scottish Labour would invest in our local communities, including schools and care for the elderly.

But while we were campaigning for our public services, nationalists were at a Scottish Independence Convention in Glasgow. 

Read more about Scottish Labour's plan to protect our public services here: http://www.scottishlabour.org.uk/blog/entry/protect-our-public-services",Protect Our Public Services,link,http://www.scottishlabour.org.uk/blog/entry/protect-our-public-services,2017-01-14 11:24:57,79,20,64,78,0,0,1,0,0
310039442421596_1253724638053067,"The SNP should think again on cuts to maternity services at the Vale of Leven and Inverclyde.

After distressing reports of pregnant mothers being turned away from the Queen Elizabeth in Glasgow, it makes no sense to cut further maternity services in the area.

Labour's Anas Sarwar has written to SNP Health Secretary Shona Robison calling on her to see sense. 

http://www.heart.co.uk/scotland/news/local/ministers-urged-to-think-agai/#72WktXuQkVe1l8VJ.97",Ministers Urged To Think Again On Maternity Services Cuts,link,http://www.heart.co.uk/scotland/news/local/ministers-urged-to-think-agai/#72WktXuQkVe1l8VJ.97,2017-01-13 09:48:39,44,7,11,40,0,0,0,1,3
310039442421596_1252796291479235,"The SNP promised 4 major trauma centres for our NHS in Edinburgh, Aberdeen, Glasgow and Dundee that would be up and running by 2016.

But Nicola Sturgeon has admitted they will be delayed for 3 more years. 

When it comes to our NHS, the SNP isn't delivering for our staff or patients. All the Nationalists are delivering are broken promises.",SNP NHS broken promises,video,https://www.facebook.com/ScottishLabourParty/videos/1252796291479235/,2017-01-12 10:12:08,90,31,40,76,1,0,4,0,9
310039442421596_1251859671572897,"Theresa May's blind trust in a hard Brexit is identical to the SNP's blind faith in independence. 

Scots who voted both Yes and No want to move on from arguments of the past. But the Tories' reckless Brexit gamble means the SNP is restarting its campaign for independence.",Theresa May's blind trust in hard Brexit,video,https://www.facebook.com/ScottishLabourParty/videos/1251859671572897/,2017-01-11 12:01:04,72,34,10,58,1,0,6,0,7
310039442421596_1251279744964223,"Scottish Labour has launched its vision for local government.

In May, Scotland faces an election that will decide the future of our public services. We can continue with Tory and SNP cuts - or we can invest in local services.

Scottish Labour will fight for an overhaul of the tax system to make it fairer and more progressive. Watch deputy leader Alex Rowley explain Scottish Labour's priorities, then read our national framework here: http://bit.ly/2jeJvyO",,video,https://www.facebook.com/ScottishLabourParty/videos/1251279744964223/,2017-01-10 16:51:12,76,25,47,67,0,0,9,0,0
310039442421596_1250202271738637,"In the past year more than 300 children and young people waited over a year for mental health treatment and support.

That's a national scandal. The longer a patient has to wait for treatment the more likely it is that their condition will get worse.

As a start, Labour wants to see guaranteed access to a qualified counsellor for every high school in Scotland.

http://www.scotsman.com/news/hundreds-wait-over-a-year-for-mental-health-treatment-1-4335067",Hundreds wait over a year for mental health treatment,link,http://www.scotsman.com/news/hundreds-wait-over-a-year-for-mental-health-treatment-1-4335067,2017-01-09 08:30:57,28,9,7,17,0,2,0,4,5
310039442421596_1248440708581460,"An average of 21 NHS operations are cancelled every day in Scotland because a lack of capacity or resources. That's the reality of a decade of SNP mismanagement and cuts.

Read more: https://stv.tv/news/politics/1377409-nhs-scotland-forced-to-cancel-average-of-21-operations-a-day/",NHS Scotland forced to cancel average of 21 operations a day,link,https://stv.tv/news/politics/1377409-nhs-scotland-forced-to-cancel-average-of-21-operations-a-day/,2017-01-07 05:41:55,79,38,37,52,0,0,2,8,17
310039442421596_1246908872067977,"2017 is the year to save our Union following the reckless actions of the SNP and the Tories.

Read more about Kezia Dugdale's plan for a new Act of Union here:

http://www.scottishlabour.org.uk/blog/entry/the-year-to-save-our-union",The year to save our Union,link,http://www.scottishlabour.org.uk/blog/entry/the-year-to-save-our-union,2017-01-05 10:17:07,35,31,4,28,1,0,5,1,0
310039442421596_1245911402167724,"This week, rail fares increased across the ScotRail network.

Scottish Labour doesn't think that's fair.

Here's Scottish Labour's plan for a new approach to our railways: http://www.scottishlabour.org.uk/blog/entry/a-new-approach-to-our-railways#sthash.rtmdvC0y.dpuf",A new approach to our railways,link,http://www.scottishlabour.org.uk/blog/entry/a-new-approach-to-our-railways#sthash.rtmdvC0y.dpuf,2017-01-04 07:16:49,72,19,24,62,0,0,5,0,5
310039442421596_1245162555575942,"Don't miss Kezia Dugdale's column in the Daily Record, now published every Tuesday. 

Here's five reasons to be optimistic about 2017: http://www.dailyrecord.co.uk/news/politics/good-riddance-terrible-2016-here-9551697",Good riddance to a terrible 2016 and here is why 2017 will be better,link,http://www.dailyrecord.co.uk/news/politics/good-riddance-terrible-2016-here-9551697,2017-01-03 08:44:59,44,20,12,38,2,0,3,1,0
310039442421596_1244294192329445,"The Tories' £2 billion cuts bombshell for Scotland.

New figures have revealed that Scotland will lose around £2 billion over the lifetime of this parliament through Tory tax breaks for the richest and social security cuts for the poorest. 

Read more at:
http://www.scottishlabour.org.uk/blog/entry/the-tories-2-billion-cuts-bombshell-for-scotland",The Tories' £2 billion cuts bombshell for Scotland,link,http://www.scottishlabour.org.uk/blog/entry/the-tories-2-billion-cuts-bombshell-for-scotland,2017-01-02 08:08:31,32,25,10,28,1,0,1,0,2
310039442421596_1239995199426011,"New research published today by Labour shows that people in Scotland are missing out on over £2billion of social security payments. This includes unclaimed state pension money, tax credits and more.

The government must do more to ensure that people get the support they are entitled to.

Read the full story here: http://www.dailyrecord.co.uk/news/politics/call-fairer-benefits-system-poor-9524340",Poor Scots are missing out on £2bn in benefits every year,link,http://www.dailyrecord.co.uk/news/politics/call-fairer-benefits-system-poor-9524340,2016-12-28 05:24:10,22,13,2,21,0,0,0,1,0
310039442421596_1238580349567496,"Private landlords have raked in billions of pounds through housing benefit in Scotland.

It's clear the system isn't working. We need real action on Scotland's housing crisis, with an accelerated programme of housebuilding. 

http://www.eveningtimes.co.uk/news/14987761.Call_to_reform_private_rented_housing_sector_in_Scotland/",Call to reform private rented housing sector in Scotland,link,http://www.eveningtimes.co.uk/news/14987761.Call_to_reform_private_rented_housing_sector_in_Scotland/,2016-12-26 06:47:22,86,22,13,84,1,0,1,0,0
